ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,TransectNumber,SampleLocation,Season,BankAngle_Degrees,BankVegCover_Percent,BankHeight_Meters,BankSubstrate,LargeTrees_TR,SmTreesShrubs_SH,GrassForbes_GR,BareRockSediment_BA,Artificial_AR,Comment,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,10,Right,2007,>60,50-80,2.1-3,Boulder/cobble,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,11,Left,2007,>60,50-80,3.1-4,Gravel/sand,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,main,11,Right,2007,>60,50-80,1.1-2,Boulder/cobble,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,1,Left,2007,>60,50-80,2.1-3,Gravel/sand,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,1,Right,2007,0-30,20-49,0-1,Gravel/sand,TRUE,TRUE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,2,Left,2007,>60,50-80,2.1-3,Gravel/sand,TRUE,TRUE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,2,Right,2007,0-30,20-49,0-1,Gravel/sand,FALSE,FALSE,TRUE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,3,Left,2007,0-30,50-80,0-1,Boulder/cobble,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,3,Right,2007,31-60,50-80,0-1,Gravel/sand,FALSE,TRUE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,4,Left,2007,>60,50-80,1.1-2,Gravel/sand,TRUE,TRUE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,4,Right,2007,31-60,20-49,0-1,Boulder/cobble,FALSE,TRUE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,5,Left,2007,31-60,50-80,0-1,Gravel/sand,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2007May21,BUFFRMFish2007May22,side channel,5,Right,2007,0-30,<20,0-1,Boulder/cobble,TRUE,FALSE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,1,Left,2008,>60,>80,2.1-3,Boulder/cobble,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,1,Right,2008,>60,50-80,>4,Gravel/sand,TRUE,FALSE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,2,Left,2008,>60,>80,3.1-4,Boulder/cobble,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,2,Right,2008,>60,50-80,>4,Gravel/sand,TRUE,FALSE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,3,Left,2008,0-30,>80,1.1-2,Boulder/cobble,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,3,Right,2008,0-30,>80,0-1,Silt,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,4,Left,2008,0-30,50-80,1.1-2,Boulder/cobble,TRUE,FALSE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,4,Right,2008,31-60,>80,0-1,Boulder/cobble,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,5,Left,2008,0-30,20-49,0-1,Boulder/cobble,FALSE,FALSE,FALSE,TRUE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,5,Right,2008,>60,>80,2.1-3,Silt,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,6,Left,2008,31-60,>80,0-1,Gravel/sand,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,6,Right,2008,>60,50-80,>4,Gravel/sand,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,7,Left,2008,0-30,>80,0-1,Sand,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,7,Right,2008,>60,>80,>4,Boulder/cobble,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,8,Left,2008,0-30,>80,0-1,Sand,TRUE,TRUE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,8,Right,2008,>60,>80,>4,Boulder/cobble,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,9,Left,2008,>60,>80,0-1,Sand,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,9,Right,2008,>60,>80,>4,Boulder/cobble,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,10,Left,2008,31-60,>80,2.1-3,Boulder/cobble,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,main,10,Right,2008,>60,>80,>4,Sand,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,1,Left,2008,0-30,>80,0-1,Gravel/sand,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2008May19,BUFFRMFish2008May20,side channel,1,Right,2008,>60,>80,1.1-2,Gravel/sand,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Event,HumanObservation
