"ParkCode","dwcType","dwcBasisOfRecord","scientificName","DataReleaseID","CalYr","Type","Count","DensityClass_Estimated","DensityClass_Actual","Correct"
"WICR","Event","HumanObservation","Physaria filiformis","A_10g",2006,"subj",498,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_11d",2006,"subj",10,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_16g",2006,"subj",181,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_17e",2006,"subj",3,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_21h",2006,"subj",125,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_22c",2006,"subj",25,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_23b",2006,"subj",3,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_26c",2006,"subj",128,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_26f",2006,"subj",174,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_27d",2006,"subj",510,4,5,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_28b",2006,"subj",13,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_28d",2006,"subj",4,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_29i",2006,"subj",337,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_32b",2006,"subj",25,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_32i",2006,"subj",343,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_33a",2006,"subj",283,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_34c",2006,"subj",23,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_35f",2006,"subj",233,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_38d",2006,"subj",9,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_39i",2006,"subj",186,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_40h",2006,"subj",169,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_41i",2006,"subj",61,3,3,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_44a",2006,"subj",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_44e",2006,"subj",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_45g",2006,"subj",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_46c",2006,"subj",23,0,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_46h",2006,"subj",26,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_47b",2006,"subj",131,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_48e",2006,"subj",101,2,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_50i",2006,"subj",108,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_51a",2006,"subj",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_51h",2006,"subj",47,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_52i",2006,"subj",152,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_53a",2006,"subj",18,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_54f",2006,"subj",100,2,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_54g",2006,"subj",98,3,3,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_57b",2006,"subj",31,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_58b",2006,"subj",28,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_59d",2006,"subj",90,3,3,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_60h",2006,"subj",18,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_61d",2006,"subj",118,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_64c",2006,"subj",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_65c",2006,"subj",325,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_65e",2006,"subj",5,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_66b",2006,"subj",94,3,3,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_67f",2006,"subj",8,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_68g",2006,"subj",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_72h",2006,"subj",391,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_73e",2006,"subj",114,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_74a",2006,"subj",506,4,5,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_75i",2006,"subj",2,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_76c",2006,"subj",6,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_80b",2006,"subj",668,4,5,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_81b",2006,"subj",67,2,3,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_82b",2006,"subj",2,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_83g",2006,"subj",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_84d",2006,"subj",117,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_89c",2006,"subj",50,2,3,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_90f",2006,"subj",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_91d",2006,"subj",47,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_92a",2006,"subj",65,3,3,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_11d",2007,"srs",3,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_11e",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_11h",2007,"srs",5,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_16b",2007,"srs",96,2,3,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_16d",2007,"srs",101,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_17g",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_17i",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_21f",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_23h",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_26c",2007,"srs",4,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_27c",2007,"srs",4,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_28a",2007,"srs",5,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_28i",2007,"srs",19,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_34d",2007,"srs",10,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_34f",2007,"srs",11,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_38a",2007,"srs",11,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_39c",2007,"srs",3,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_39i",2007,"srs",586,4,5,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_40i",2007,"srs",24,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_44e",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_44g",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_45e",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_45f",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_46f",2007,"srs",46,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_46h",2007,"srs",8,2,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_47b",2007,"srs",78,2,3,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_47e",2007,"srs",44,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_48a",2007,"srs",68,2,3,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_50d",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_51a",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_51d",2007,"srs",1,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_52g",2007,"srs",8,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_53d",2007,"srs",7,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_53h",2007,"srs",33,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_57a",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_57b",2007,"subj",96,3,3,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_58g",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_60c",2007,"srs",80,2,3,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_61h",2007,"subj",303,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_64g",2007,"subj",55,3,3,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_64i",2007,"srs",168,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_66a",2007,"srs",67,2,3,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_66d",2007,"srs",79,2,3,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_66i",2007,"srs",4,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_67f",2007,"srs",6,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_68a",2007,"subj",156,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_68d",2007,"srs",6,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_72a",2007,"subj",387,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_72c",2007,"srs",303,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_72e",2007,"srs",407,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_73a",2007,"subj",199,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_73b",2007,"srs",9,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_73g",2007,"subj",212,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_73i",2007,"srs",27,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_74a",2007,"srs",57,3,3,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_74g",2007,"srs",34,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_75a",2007,"srs",6,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_75b",2007,"srs",50,2,3,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_75i",2007,"srs",7,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_76b",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_80b",2007,"subj",709,5,5,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_80e",2007,"subj",641,5,5,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_80f",2007,"srs",635,4,5,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_80h",2007,"srs",220,4,4,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_80i",2007,"subj",664,4,5,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_81e",2007,"subj",126,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_81h",2007,"srs",84,3,3,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_82i",2007,"subj",94,3,3,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_83d",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_83e",2007,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_89f",2007,"subj",250,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_90h",2007,"srs",15,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_92i",2007,"srs",10,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_10f",2008,"srs",8,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_11a",2008,"srs",2,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_11e",2008,"srs",1,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_16c",2008,"srs",2,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_16f",2008,"srs",0,1,0,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_21i",2008,"srs",1,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_26e",2008,"srs",122,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_27g",2008,"srs",11,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_29e",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_32f",2008,"srs",17,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_32g",2008,"srs",3,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_34d",2008,"srs",12,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_35c",2008,"srs",2,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_35e",2008,"srs",1,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_35g",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_38h",2008,"srs",10,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_38i",2008,"srs",8,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_39h",2008,"srs",0,1,0,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_44c",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_44i",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_45e",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_46f",2008,"srs",18,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_46i",2008,"srs",46,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_47g",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_48e",2008,"srs",2,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_52g",2008,"srs",23,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_54a",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_54b",2008,"srs",1,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_54g",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_57e",2008,"srs",27,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_58a",2008,"srs",35,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_60e",2008,"srs",2,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_61d",2008,"srs",1,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_61f",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_61i",2008,"srs",0,1,0,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_64c",2008,"srs",2,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_64e",2008,"srs",2,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_64g",2008,"srs",46,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_65g",2008,"srs",10,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_66b",2008,"srs",7,2,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_67c",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_67f",2008,"srs",1,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_67g",2008,"srs",1,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_68a",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_72h",2008,"srs",11,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_73e",2008,"srs",1,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_74h",2008,"srs",1,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_80g",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_80i",2008,"srs",7,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_81a",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_81d",2008,"srs",3,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_82g",2008,"srs",22,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_83e",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_83i",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_84a",2008,"srs",5,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_89g",2008,"srs",23,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_90a",2008,"srs",2,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_91d",2008,"srs",7,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_92c",2008,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_92d",2008,"srs",6,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_10f",2009,"srs",6,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_11e",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_16b",2009,"srs",1,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_21e",2009,"srs",6,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_23d",2009,"srs",1,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_23g",2009,"srs",1,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_26h",2009,"srs",4,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_27b",2009,"srs",3,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_27g",2009,"srs",8,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_27i",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_28a",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_28c",2009,"srs",1,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_29a",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_32c",2009,"srs",25,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_32e",2009,"srs",7,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_32i",2009,"srs",4,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_33a",2009,"srs",12,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_33b",2009,"srs",3,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_33c",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_33i",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_34a",2009,"srs",1,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_35f",2009,"srs",2,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_35g",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_38e",2009,"srs",26,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_38i",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_39h",2009,"srs",1,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_39i",2009,"srs",48,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_40h",2009,"srs",37,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_44a",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_45c",2009,"srs",1,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_45f",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_46g",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_48b",2009,"srs",5,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_48c",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_48d",2009,"srs",12,0,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_48f",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_50d",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_51h",2009,"srs",7,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_52c",2009,"srs",1,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_57c",2009,"srs",11,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_59f",2009,"srs",2,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_60b",2009,"srs",3,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_61c",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_64g",2009,"srs",12,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_65f",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_65h",2009,"srs",3,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_66c",2009,"srs",6,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_72a",2009,"srs",2,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_72b",2009,"srs",5,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_75e",2009,"srs",3,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_81e",2009,"srs",13,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_82d",2009,"srs",25,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_82g",2009,"srs",4,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_83f",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_83i",2009,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_84d",2009,"srs",9,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_89a",2009,"srs",18,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_89e",2009,"srs",7,2,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_91b",2009,"srs",2,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_91d",2009,"srs",67,2,3,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_23e",2010,"strat",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_27f",2010,"strat",0,1,0,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_33e",2010,"strat",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_33i",2010,"strat",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_34a",2010,"strat",1,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_40h",2010,"strat",13,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_46i",2010,"strat",10,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_47e",2010,"strat",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_50b",2010,"strat",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_57f",2010,"strat",2,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_60d",2010,"strat",1,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_61h",2010,"strat",3,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_66g",2010,"strat",12,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_68f",2010,"strat",0,1,0,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_75i",2010,"strat",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_76b",2010,"strat",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_76g",2010,"strat",3,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_81c",2010,"strat",5,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_83d",2010,"strat",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_90f",2010,"strat",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_90g",2010,"strat",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_91d",2010,"strat",4,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_92f",2010,"strat",1,1,1,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_11a",2011,"srs",49,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_11c",2011,"srs",1,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_11f",2011,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_16c",2011,"srs",119,2,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_16i",2011,"srs",79,2,3,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_17d",2011,"srs",1,0,1,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_17h",2011,"srs",60,2,3,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_21a",2011,"srs",15,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_21c",2011,"srs",107,2,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_21e",2011,"srs",142,2,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_21g",2011,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_22b",2011,"srs",224,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_26h",2011,"srs",147,2,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_26i",2011,"srs",22,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_27g",2011,"srs",301,3,4,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_28g",2011,"srs",32,2,2,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_29a",2011,"srs",12,1,2,FALSE
"WICR","Event","HumanObservation","Physaria filiformis","A_29d",2011,"srs",0,0,0,TRUE
"WICR","Event","HumanObservation","Physaria filiformis","A_29f",2011,"srs",607,3,5,FALSE
